indice_tiempo,reservas_internacionales_bcra_saldos,reservas_internacionales_bcra_prom_mensual_de_saldos_diarios,tipo_de_cambio_moneda_de_cada_momento,tipo_de_cambio_en_pesos_equivalentes,agregados_monetarios_en_pesos_bym_totales,agregados_monetarios_en_pesos_bym_en_circulacion,agregados_monetarios_en_pesos_bym_en_entidades,agregados_monetarios_en_pesos_bm,agregados_monetarios_en_pesos_m1,agregados_monetarios_en_pesos_m2,agregados_monetarios_en_pesos_m3,agregados_usd_m1,agregados_usd_m2,agregados_usd_m3,prestamos_totales_total,prestamos_totales_pesos,prestamos_totales_usd,prestamos_al_sector_privado_total,prestamos_al_sector_privado_pesos,prestamos_al_sector_privado_usd,prestamos_al_sector_publico_total,prestamos_al_sector_publico_pesos,prestamos_al_sector_publico_usd,depositos_totales_total,depositos_totales_pesos,depositos_totales_usd,depositos_al_sector_privado_total,depositos_al_sector_privado_pesos,depositos_al_sector_privado_usd,depositos_al_sector_publico_total,depositos_al_sector_publico_pesos,depositos_al_sector_publico_usd,tasa_interes_deposito_caja_de_ahorro_pesos,tasa_interes_deposito_caja_de_ahorro_usd,tasa_interes_deposito_plazo_fijo_30_59d_pesos,tasa_interes_deposito_plazo_fijo_30_59d_usd,tasa_interes_obligaciones_entidades_financieras_exterior,tasa_interes_prestamos_interfinancieros_hasta_15d_pesos,tasa_interes_prestamos_interfinancieros_hasta_15d_plazo_usd,tasa_interes_prestamos_empresas_primera_linea_30d_pesos,tasa_interes_prestamos_empresas_primera_linea_30d_plazo_usd,tasa_interes_adelantos_en_cc_sect_priv_no_financiero_pesos,tasa_interes_adelantos_en_cc_al_sect_priv_no_financiero_usd,tasa_interes_prestamos_hipot_sect_priv_5_10_anios_pesos,tasa_interes_prestamos_hipotecarios_sect_priv_5_10_anios_usd
1959-11-01,365.1,,82.83,8.283000000000001e-12,8.824290000000002e-09,7.029700000000001e-09,1.7945900000000001e-09,1.1523750000000001e-08,1.5697800000000002e-08,1.9125310000000004e-08,2.0180220000000003e-08,,,,2.0546640000000003e-08,2.0227570000000003e-08,3.1907000000000007e-10,1.2534920000000002e-08,1.2215850000000002e-08,3.1907000000000007e-10,8.011720000000001e-09,8.011720000000001e-09,,1.3600940000000001e-08,1.3600940000000001e-08,,1.0444400000000001e-08,1.0444400000000001e-08,,3.1565400000000008e-09,3.1565400000000008e-09,,,,,,,,,,,,,,
1959-12-01,396.5,,83.36,8.336000000000002e-12,9.971010000000002e-09,8.435080000000001e-09,1.5359300000000003e-09,1.1898450000000001e-08,1.6804110000000005e-08,2.0308670000000004e-08,2.1350590000000002e-08,,,,2.1489990000000006e-08,2.1150150000000002e-08,3.3984000000000004e-10,1.3183140000000003e-08,1.2843300000000003e-08,3.3984000000000004e-10,8.306850000000001e-09,8.306850000000001e-09,,1.3365930000000003e-08,1.3365930000000003e-08,,1.0320700000000002e-08,1.0320700000000002e-08,,3.0452300000000002e-09,3.0452300000000002e-09,,,,,,,,,,,,,,
1960-01-01,435.6,,83.07,8.307e-12,9.971500000000001e-09,8.027560000000001e-09,1.9439400000000002e-09,1.2240320000000002e-08,1.6958810000000002e-08,2.0619570000000004e-08,2.1774410000000005e-08,,,,2.2779850000000005e-08,2.1539590000000005e-08,1.2402600000000002e-09,1.4318610000000002e-08,1.3078350000000002e-08,1.2402600000000002e-09,8.461240000000003e-09,8.461240000000003e-09,,1.4197270000000003e-08,1.4197270000000003e-08,,1.1152890000000002e-08,1.1152890000000002e-08,,3.0443800000000006e-09,3.0443800000000006e-09,,,,,,,,,,,,,,
1960-02-01,482.5,,82.92,8.292000000000002e-12,1.0047300000000002e-08,8.218780000000002e-09,1.8285200000000004e-09,1.2560120000000003e-08,1.7217680000000003e-08,2.1001090000000003e-08,2.216763e-08,,,,2.3034760000000004e-08,2.1812300000000003e-08,1.2224600000000003e-09,1.4445010000000001e-08,1.3222550000000001e-08,1.2224600000000003e-09,8.589750000000003e-09,8.589750000000003e-09,,1.4399170000000003e-08,1.4399170000000003e-08,,1.1309810000000002e-08,1.1309810000000002e-08,,3.0893600000000006e-09,3.0893600000000006e-09,,,,,,,,,,,,,,
1960-03-01,528.7,,82.93,8.293000000000003e-12,1.018945e-08,8.25922e-09,1.9302300000000003e-09,1.2994170000000003e-08,1.7646490000000005e-08,2.1524170000000003e-08,2.2693240000000004e-08,,,,2.3367550000000003e-08,2.2085440000000004e-08,1.2821100000000002e-09,1.4597480000000004e-08,1.3315370000000004e-08,1.2821100000000002e-09,8.770070000000001e-09,8.770070000000001e-09,,1.4884340000000002e-08,1.4884340000000002e-08,,1.1807010000000001e-08,1.1807010000000001e-08,,3.0773300000000006e-09,3.0773300000000006e-09,,,,,,,,,,,,,,
1960-04-01,550.3,,83.38,8.338000000000001e-12,1.0343840000000002e-08,8.34865e-09,1.9951900000000004e-09,1.3132620000000002e-08,1.7978560000000004e-08,2.1914020000000003e-08,2.317774e-08,,,,2.3717240000000004e-08,2.2467100000000004e-08,1.2501400000000002e-09,1.4897480000000002e-08,1.3647340000000002e-08,1.2501400000000002e-09,8.819760000000002e-09,8.819760000000002e-09,,1.5279380000000003e-08,1.5279380000000003e-08,,1.1962650000000002e-08,1.1962650000000002e-08,,3.316730000000001e-09,3.316730000000001e-09,,,,,,,,,,,,,,
1960-05-01,586.4,,83.09,8.309000000000001e-12,1.0410440000000002e-08,8.34244e-09,2.0680000000000003e-09,1.3411710000000001e-08,1.8580140000000003e-08,2.2584240000000003e-08,2.3933030000000003e-08,,,,2.424157e-08,2.2980200000000002e-08,1.2613700000000002e-09,1.524533e-08,1.3983960000000002e-08,1.2613700000000002e-09,8.99624e-09,8.99624e-09,,1.6040880000000003e-08,1.6040880000000003e-08,,1.2389660000000001e-08,1.2389660000000001e-08,,3.6512200000000005e-09,3.6512200000000005e-09,,,,,,,,,,,,,,
1960-06-01,606.2,,82.92,8.292000000000002e-12,1.0474320000000003e-08,8.42081e-09,2.0535100000000003e-09,1.3677920000000003e-08,1.8950750000000002e-08,2.3019520000000006e-08,2.4376800000000003e-08,,,,2.4595420000000004e-08,2.3354720000000003e-08,1.2407000000000003e-09,1.5595960000000003e-08,1.4355260000000002e-08,1.2407000000000003e-09,8.999460000000001e-09,8.999460000000001e-09,,1.6456280000000002e-08,1.6456280000000002e-08,,1.2790480000000002e-08,1.2790480000000002e-08,,3.6658000000000007e-09,3.6658000000000007e-09,,,,,,,,,,,,,,
1960-07-01,638.9,,82.81,8.281000000000002e-12,1.0656340000000002e-08,8.609310000000002e-09,2.0470300000000005e-09,1.407196e-08,1.9450280000000005e-08,2.3602990000000003e-08,2.4968980000000004e-08,,,,2.4987160000000002e-08,2.367916e-08,1.308e-09,1.589366e-08,1.4585660000000002e-08,1.308e-09,9.093500000000001e-09,9.093500000000001e-09,,1.6859970000000004e-08,1.6859970000000004e-08,,1.2992300000000001e-08,1.2992300000000001e-08,,3.867670000000001e-09,3.867670000000001e-09,,,,,,,,,,,,,,
1960-08-01,673.1,,82.79,8.279000000000002e-12,1.0753240000000002e-08,8.608570000000001e-09,2.1446700000000006e-09,1.4345870000000001e-08,2.000784e-08,2.4202460000000005e-08,2.5619220000000007e-08,,,,2.5465400000000005e-08,2.4128860000000006e-08,1.3365400000000002e-09,1.6209460000000004e-08,1.4872920000000003e-08,1.3365400000000002e-09,9.255940000000001e-09,9.255940000000001e-09,,1.7510940000000004e-08,1.7510940000000004e-08,,1.3348370000000004e-08,1.3348370000000004e-08,,4.162570000000001e-09,4.162570000000001e-09,,,,,,,,,,,,,,
